[RELA_INVERSE]
3_UTR_of|Has_3_UTR
inverse_has_chromosomal_aberration_classification|has_chromosomal_aberration_classification
inverse_has_citation|has_citation
inverse_has_clinical_finding|has_clinical_finding
inverse_has_clinical_record|has_clinical_record
inverse_has_clinical_treatment|has_clinical_treatment
inverse_has_compound|has_compound
inverse_has_cubic_volume|has_cubic_volume
inverse_has_database|has_database
inverse_has_database_entry_type|has_database_entry_type
inverse_has_diameter|has_diameter
inverse_has_disease_location|has_disease_location
inverse_has_disease_staging|has_disease_staging
inverse_has_disease_state|has_disease_state
inverse_has_donor|has_donor
inverse_has_experiment_design|has_experiment_design
inverse_has_experiment_design_type|has_experiment_design_type
inverse_has_experiment_factors|has_experiment_factors
inverse_has_factor_value|has_factor_value
inverse_has_factor_value_ontology_entry|has_factor_value_ontology_entry
inverse_has_family_member|has_family_member
inverse_has_family_relationship|has_family_relationship
inverse_has_feature_shape|has_feature_shape
inverse_has_fiducials|has_fiducials
inverse_has_hardware|has_hardware
inverse_has_height|has_height
inverse_has_host|has_host
inverse_has_host_part|has_host_part
inverse_has_image_format|has_image_format
inverse_has_individual|has_individual
inverse_has_individual_genetic_characteristics|has_individual_genetic_characteristics
inverse_has_initial_time_point|has_initial_time_point
inverse_has_length|has_length
inverse_has_manufacturer|has_manufacturer
inverse_has_mass|has_mass
inverse_has_maximum_measurement|has_maximum_measurement
inverse_has_measurement_type|has_measurement_type
inverse_has_node_value|has_node_value
inverse_has_node_value_type|has_node_value_type
inverse_has_nodes|has_nodes
inverse_has_nutrient_component|has_nutrient_component
inverse_has_organism_part|has_organism_part
inverse_has_owner|has_owner
inverse_has_parent_organization|has_parent_organization
inverse_has_part_modified|has_part_modified
inverse_has_performer|has_performer
inverse_has_prior_disease_state|has_prior_disease_state
inverse_has_property_set|has_property_set
inverse_has_protocol|has_protocol
inverse_has_providers|has_providers
inverse_has_reason_for_deprecation|has_reason_for_deprecation
inverse_has_software|has_software
inverse_has_species|has_species
inverse_has_test_result|has_test_result
inverse_has_test_type|has_test_type
inverse_has_treatment|has_treatment
inverse_has_type|has_type
inverse_has_units|has_units
inverse_isa|isa
inverse_relative_to|relative_to
inverse_was_a|was_a
inverse_was_tested_for|was_tested_for
is_anatomical_site_of|anatomical_site
is_borne_by|bearer_of
is_datum_of|has_datum_value
is_integral_part_of|has_integral_part
is_interpreted_by|interprets
is_measurement_endpoint_of|has_endpoint_of_measurement
is_modification_of|has_modification
is_realized_in|realizes
is_sterile|answer_to_is_sterile
is_temperature_of|has_temperature_condition
is_time_period_of|has_time_period
isa|inverse_isa
larger_than|smaller_than
lateral_to|medial_to
laterality_of|has_laterality
left_lateral_to|right_medial_to
left_medial_to|right_lateral_to
location_of|has_location
loinc_number_of|has_loinc_number
lymphatic_drainage_of|has_lymphatic_drainage
manifestation_of|has_manifestation
manufactured_by|manufactures
manufactured_dose_form_of|has_manufactured_dose_form
manufactures|manufactured_by
mapped_from|mapped_to
mapped_to|mapped_from
mapping_qualifier_of|has_mapping_qualifier
matures_from|matures_into
matures_into|matures_from
may_be_caused_by|may_cause
may_be_diagnosed_by|may_diagnose
may_be_diagnosed_by_FMTSME|may_diagnose_FMTSME
may_be_diagnosed_by_MEDRT|may_diagnose_MEDRT
may_be_prevented_by|may_prevent
may_be_prevented_by_FMTSME|may_prevent_FMTSME
may_be_prevented_by_MEDRT|may_prevent_MEDRT
may_be_qualified_by|may_qualify
may_be_treated_by|may_treat
may_be_treated_by_FMTSME|may_treat_FMTSME
may_be_treated_by_MEDRT|may_treat_MEDRT
may_cause|may_be_caused_by
may_diagnose|may_be_diagnosed_by
may_diagnose_FMTSME|may_be_diagnosed_by_FMTSME
may_diagnose_MEDRT|may_be_diagnosed_by_MEDRT
may_inhibit_effect_of|effect_may_be_inhibited_by
may_inhibit_effect_of_MEDRT|effect_may_be_inhibited_by_MEDRT
may_prevent|may_be_prevented_by
may_prevent_FMTSME|may_be_prevented_by_FMTSME
may_prevent_MEDRT|may_be_prevented_by_MEDRT
may_qualify|may_be_qualified_by
may_treat|may_be_treated_by
may_treat_FMTSME|may_be_treated_by_FMTSME
may_treat_MEDRT|may_be_treated_by_MEDRT
measure_of|has_measure
measured_by|measures
measured_component_of|has_measured_component
measurement_method_of|has_measurement_method
measurement_of|has_measurement
measures|measured_by
mechanism_of_action_of|has_mechanism_of_action
mechanism_of_action_of_FDASPL|has_mechanism_of_action_FDASPL
mechanism_of_action_of_FMASME|has_mechanism_of_action_FMASME
mechanism_of_action_of_FMTSME|has_mechanism_of_action_FMTSME
mechanism_of_action_of_MEDRT|has_mechanism_of_action_MEDRT
medial_to|lateral_to
member_of|has_member
merges_with|merges_with
metabolic_site_of|site_of_metabolism
metabolic_site_of_MEDRT|site_of_metabolism_MEDRT
method_of|has_method
modality_is_related_to|related_modality
moved_from|moved_to
moved_to|moved_from
mth_british_form_of|mth_has_british_form
mth_expanded_form_of|mth_has_expanded_form
mth_has_british_form|mth_british_form_of
mth_has_expanded_form|mth_expanded_form_of
mth_has_plain_text_form|mth_plain_text_form_of
mth_has_xml_form|mth_xml_form_of
mth_plain_text_form_of|mth_has_plain_text_form
mth_xml_form_of|mth_has_xml_form
muscle_insertion_of|has_muscle_insertion
muscle_origin_of|has_muscle_origin
negatively_regulated_by|negatively_regulates
negatively_regulates|negatively_regulated_by
nerve_supply_of|has_nerve_supply
occurs_after|occurs_before
occurs_before|occurs_after
occurs_in|has_occurrence
onset_of|has_onset
origin_of|has_origin
owning_affiliate_of|has_owning_affiliate
owning_section_of|has_owning_section
owning_subsection_of|has_owning_subsection
parameter_determined_from|determines_parameter_for
parent_group_of|has_parent_group
parent_of|has_parent
parent_of_FDASPL|child_of_FDASPL
parent_of_MEDRT|child_of_MEDRT
part_anatomy_structure_of|has_part_anatomy_structure
part_component_of|has_component_part
part_of|has_part
part_referred_to_by|relative_to_part_of
participates_in|has_participant
pathological_process_of|has_pathological_process
permuted_term_of|has_permuted_term
pharmacokinetics_of|has_pharmacokinetics
pharmacokinetics_of_MEDRT|has_pharmacokinetics_MEDRT
phenotype_of|has_phenotype
physiologic_effect_of|has_physiologic_effect
physiologic_effect_of_FDASPL|has_physiologic_effect_FDASPL
physiologic_effect_of_FMTSME|has_physiologic_effect_FMTSME
physiologic_effect_of_MEDRT|has_physiologic_effect_MEDRT
plays_role|role_played_by
positively_regulated_by|positively_regulates
positively_regulates|positively_regulated_by
possibly_equivalent_to|possibly_equivalent_to
posterior_to|anterior_to
posteroinferior_to|anterosuperior_to
posterolateral_to|anteromedial_to
posteromedial_to|anterolateral_to
posterosuperior_to|anteroinferior_to
precise_active_ingredient_of|has_precise_active_ingredient
precise_ingredient_of|has_precise_ingredient
precondition_of|has_precondition
presentation_strength_denominator_unit_of|has_presentation_strength_denominator_unit
presentation_strength_denominator_value_of|has_presentation_strength_denominator_value
presentation_strength_numerator_unit_of|has_presentation_strength_numerator_unit
presentation_strength_numerator_value_of|has_presentation_strength_numerator_value
prev_name_of|has_prev_name
prev_symbol_of|has_prev_symbol
primary_segmental_supply_of|has_primary_segmental_supply
print_name_of|has_print_name
priority_of|has_priority
procedure_approach_of|has_procedure_approach
procedure_context_of|has_procedure_context
procedure_device_of|has_procedure_device
procedure_morphology_of|has_procedure_morphology
procedure_site_of|has_procedure_site
process_acts_on|acted_on_by_process
process_duration_of|has_process_duration
process_extends_to|extended_to_by_process
process_output_of|has_process_output
product_characteristic_of|has_product_characteristic
product_component_of|has_product_component
product_monograph_title_of|has_product_monograph_title
projects_from|projects_to
projects_to|projects_from
property_determined_from|determines_property
property_of|has_property
property_type_of|has_property_type
proximal_to|distal_to
quality_of|has_quality
quantified_form_of|has_quantified_form
reagent_used_in|uses_reagent
realization_of|has_realization
realizes|is_realized_in
receives_attachment_from|attaches_to
receives_drainage_from|drains_into
receives_input_from|sends_output_to
receives_projection|has_projection
recipient_category_of|has_recipient_category
referred_to_by|refers_to
refers_to|referred_to_by
reformulated_to|reformulation_of
reformulation_of|reformulated_to
regional_part_of|has_regional_part
regulated_by|regulates
regulates|regulated_by
related_developmental_entity_of|has_related_developmental_entity
related_modality|modality_is_related_to
related_object|related_object
related_part|related_part
related_to|related_to
relative_to|inverse_relative_to
relative_to_part_of|part_referred_to_by
replaced_by|replaces
replaces|replaced_by
responsive_to_stimulus|stimulus_causes_response
result_of|has_result
revision_status_of|has_revision_status
right_lateral_to|left_medial_to
right_medial_to|left_lateral_to
role_of|has_role
role_played_by|plays_role
route_of_administration_of|has_route_of_administration
same_as|same_as
scale_of|has_scale
scale_type_of|has_scale_type
secondary_segmental_supply_of|has_secondary_segmental_supply
see|see_from
see_from|see
segment_of|has_segment
segmental_composition_of|has_segmental_composition
segmental_supply_of|has_segmental_supply
sends_output_to|receives_input_from
severity_of|has_severity
sib_in_branch_of|sib_in_branch_of
sib_in_isa|sib_in_isa
sib_in_part_of|sib_in_part_of
sib_in_tributary_of|sib_in_tributary_of
site_of_metabolism|metabolic_site_of
site_of_metabolism_MEDRT|metabolic_site_of_MEDRT
smaller_than|larger_than
sort_version_of|has_sort_version
specifies_value|value_specified_at
specimen_of|has_specimen
specimen_procedure_of|has_specimen_procedure
specimen_source_identity_of|has_specimen_source_identity
specimen_source_morphology_of|has_specimen_source_morphology
specimen_source_topography_of|has_specimen_source_topography
specimen_substance_of|has_specimen_substance
stage_of|has_stage
state_of_matter_of|has_state_of_matter
stimulus_causes_response|responsive_to_stimulus
structural_class_of|has_structural_class
subject_of_information_of|has_subject_of_information
subject_relationship_context_of|has_subject_relationship_context
substance_used_by|uses_substance
superior_to|inferior_to
superolateral_to|inferomedial_to
superomedial_to|inferolateral_to
supported_concept_property_in|has_supported_concept_property
supported_concept_relationship_in|has_supported_concept_relationship
surface_characteristic_of|has_surface_characteristic
surface_texture_of|has_surface_texture
surgical_approach_of|has_surgical_approach
surrounded_by|surrounds
surrounds|surrounded_by
synonym_of_MEDRT|synonym_of_MEDRT
target_population_of|has_target_population
technique_of|has_technique
technique_used_for|uses_technique
temporal_context_of|has_temporal_context
temporally_followed_by|temporally_follows
temporally_follows|temporally_followed_by
temporally_related_to|temporally_related_to
therapeutic_class_of|has_therapeutic_class
therapeutic_class_of_FMTSME|has_therapeutic_class_FMTSME
time_aspect_of|has_time_aspect
towards|away_from
tradename_of|has_tradename
transforms_from|transforms_into
transforms_into|transforms_from
treated_by|treats
treats|treated_by
tributary_of|has_tributary
unit_of|has_unit
unit_of_measurement_of|has_unit_of_measure
unit_of_presentation_of|has_unit_of_presentation
units_of|has_units
use|used_for
used_by|uses
used_for|use
uses|used_by
uses_access_device|access_device_used_by
uses_device|device_used_by
uses_energy|energy_used_by
uses_instrument|instrument_used_by
uses_reagent|reagent_used_in
uses_substance|substance_used_by
uses_technique|technique_used_for
value_specified_at|specifies_value
venous_drainage_of|has_venous_drainage
version_of|has_version
was_a|inverse_was_a
was_tested_for|inverse_was_tested_for
wound_has_communication_with|has_communication_with_wound

[EXPANDED_FORM]
RELA||expanded_form|Empty relationship attribute
RELA|3_UTR_of|expanded_form|3 UTR of
RELA|5_UTR_of|expanded_form|5 UTR of
RELA|Abnormal_Cell_Affected_By_Chemical_Or_Drug|expanded_form|Abnormal Cell Affected By Chemical Or Drug
RELA|Abnormality_Associated_With_Allele|expanded_form|Abnormality Associated With Allele
RELA|Abstract_of|expanded_form|Abstract of
RELA|Activity_Of_Allele|expanded_form|Activity Of Allele
RELA|Allele_Absent_From_Wild-type_Chromosomal_Location|expanded_form|Allele Absent From Wild-type Chromosomal Location
RELA|Allele_Has_Abnormality|expanded_form|Allele Has Abnormality
RELA|Allele_Has_Activity|expanded_form|Allele Has Activity
RELA|Allele_In_Chromosomal_Location|expanded_form|Allele In Chromosomal Location
RELA|Allele_Plays_Altered_Role_In_Process|expanded_form|Allele Plays Altered Role In Process
RELA|Allele_Plays_Role_In_Metabolism_Of_Chemical_Or_Drug|expanded_form|Allele Plays Role In Metabolism Of Chemical Or Drug
RELA|Allele_of|expanded_form|Allele of
RELA|Amino_Acid_Variant_of|expanded_form|Amino Acid Variant of
RELA|Anatomic_Structure_Has_Location|expanded_form|Anatomic Structure Has Location
RELA|Anatomic_Structure_Is_Physical_Part_Of|expanded_form|Anatomic Structure Is Physical Part Of
RELA|Anatomy_Originated_From_Biological_Process|expanded_form|Anatomy Originated From Biological Process
RELA|Aneuploidy_Addition_of|expanded_form|Aneuploidy Addition of
RELA|Aneuploidy_Deletion_of|expanded_form|Aneuploidy Deletion of
RELA|Arm_Location_of|expanded_form|Arm Location of
RELA|Arm_of|expanded_form|Arm of
RELA|Associated_With_Malfunction_Of_Gene_Product|expanded_form|Associated With Malfunction Of Gene Product
RELA|Author_of|expanded_form|Author of
RELA|Band_Location_of|expanded_form|Band Location of
RELA|Band_of|expanded_form|Band of
RELA|Biological_Process_Has_Associated_Location|expanded_form|Biological Process Has Associated Location
RELA|Biological_Process_Has_Initiator_Chemical_Or_Drug|expanded_form|Biological Process Has Initiator Chemical Or Drug
RELA|Biological_Process_Has_Initiator_Process|expanded_form|Biological Process Has Initiator Process
RELA|Biological_Process_Has_Result_Anatomy|expanded_form|Biological Process Has Result Anatomy
RELA|Biological_Process_Has_Result_Biological_Process|expanded_form|Biological Process Has Result Biological Process
RELA|Biological_Process_Has_Result_Chemical_Or_Drug|expanded_form|Biological Process Has Result Chemical Or Drug
RELA|Biological_Process_Involves_Chemical_Or_Drug|expanded_form|Biological Process Involves Chemical Or Drug
RELA|Biological_Process_Involves_Gene_Product|expanded_form|Biological Process Involves Gene Product
RELA|Biological_Process_Is_Part_Of_Process|expanded_form|Biological Process Is Part Of Process
RELA|Biological_Process_Results_From_Biological_Process|expanded_form|Biological Process Results From Biological Process
RELA|Biomarker_Type_Includes_Gene|expanded_form|Biomarker Type Includes Gene
RELA|Biomarker_Type_Includes_Gene_Product|expanded_form|Biomarker Type Includes Gene Product
RELA|CDRH_Parent_Of|expanded_form|CDRH Parent Of
RELA|CH3_Status_of|expanded_form|CH3 Status of
RELA|CTCAE_5_Parent_Of|expanded_form|CTCAE 5 Parent Of
RELA|Cell_Type_Is_Associated_With_EO_Disease|expanded_form|Cell Type Is Associated With EO Disease
RELA|Cell_Type_Or_Tissue_Affected_By_Chemical_Or_Drug|expanded_form|Cell Type Or Tissue Affected By Chemical Or Drug
RELA|Centromere_of|expanded_form|Centromere of
RELA|Chemical_Or_Drug_Affects_Abnormal_Cell|expanded_form|Chemical Or Drug Affects Abnormal Cell
RELA|Chemical_Or_Drug_Affects_Cell_Type_Or_Tissue|expanded_form|Chemical Or Drug Affects Cell Type Or Tissue
RELA|Chemical_Or_Drug_Affects_Gene_Product|expanded_form|Chemical Or Drug Affects Gene Product
RELA|Chemical_Or_Drug_Has_Mechanism_Of_Action|expanded_form|Chemical Or Drug Has Mechanism Of Action
RELA|Chemical_Or_Drug_Has_Physiologic_Effect|expanded_form|Chemical Or Drug Has Physiologic Effect
RELA|Chemical_Or_Drug_Initiates_Biological_Process|expanded_form|Chemical Or Drug Initiates Biological Process
RELA|Chemical_Or_Drug_Is_Metabolized_By_Enzyme|expanded_form|Chemical Or Drug Is Metabolized By Enzyme
RELA|Chemical_Or_Drug_Is_Product_Of_Biological_Process|expanded_form|Chemical Or Drug Is Product Of Biological Process
RELA|Chemical_Or_Drug_Metabolism_Is_Associated_With_Allele|expanded_form|Chemical Or Drug Metabolism Is Associated With Allele
RELA|Chemical_Or_Drug_Plays_Role_In_Biological_Process|expanded_form|Chemical Or Drug Plays Role In Biological Process
RELA|Chemotherapy_Regimen_Has_Component|expanded_form|Chemotherapy Regimen Has Component
RELA|Chromosomal_Location_Of_Allele|expanded_form|Chromosomal Location Of Allele
RELA|Chromosomal_Location_Of_Wild-type_Gene|expanded_form|Chromosomal Location Of Wild-type Gene
RELA|Chromosomal_Location_of|expanded_form|Chromosomal Location of
RELA|Chromosomal_Structural_Variant|expanded_form|Chromosomal Structural Variant
RELA|Chromosome_Involved_In_Cytogenetic_Abnormality|expanded_form|Chromosome Involved In Cytogenetic Abnormality
RELA|Chromosome_Mapped_To_Disease|expanded_form|Chromosome Mapped To Disease
RELA|Completely_Excised_Anatomy_Has_Procedure|expanded_form|Completely Excised Anatomy Has Procedure
RELA|Completely_Excised_Anatomy_May_Have_Procedure|expanded_form|Completely Excised Anatomy May Have Procedure
RELA|Complex_Has_Physical_Part|expanded_form|Complex Has Physical Part
RELA|Concept_In_Subset|expanded_form|Concept In Subset
RELA|Conceptual_Part_Of|expanded_form|Conceptual Part Of
RELA|Constituent_Amino_Acid_of|expanded_form|Constituent Amino Acid of
RELA|Constituent_Element_of|expanded_form|Constituent Element of
RELA|Constituent_Protein_of|expanded_form|Constituent Protein of
RELA|Constituent_Variant_of|expanded_form|Constituent Variant of
RELA|Cytogenetic_Abnormality_Involves_Chromosome|expanded_form|Cytogenetic Abnormality Involves Chromosome
RELA|DOI_of|expanded_form|DOI of
RELA|Data_Element_Of|expanded_form|Data Element Of
RELA|Deleted_Region_End_Band|expanded_form|Deleted Region End Band
RELA|Deleted_Region_Start_Band|expanded_form|Deleted Region Start Band
RELA|Disease_Excludes_Abnormal_Cell|expanded_form|Disease Excludes Abnormal Cell
RELA|Disease_Excludes_Cytogenetic_Abnormality|expanded_form|Disease Excludes Cytogenetic Abnormality
RELA|Disease_Excludes_Finding|expanded_form|Disease Excludes Finding
RELA|Disease_Excludes_Metastatic_Anatomic_Site|expanded_form|Disease Excludes Metastatic Anatomic Site
RELA|Disease_Excludes_Molecular_Abnormality|expanded_form|Disease Excludes Molecular Abnormality
RELA|Disease_Excludes_Normal_Cell_Origin|expanded_form|Disease Excludes Normal Cell Origin
RELA|Disease_Excludes_Normal_Tissue_Origin|expanded_form|Disease Excludes Normal Tissue Origin
RELA|Disease_Excludes_Primary_Anatomic_Site|expanded_form|Disease Excludes Primary Anatomic Site
RELA|Disease_Has_Abnormal_Cell|expanded_form|Disease Has Abnormal Cell
RELA|Disease_Has_Accepted_Treatment_With_Regimen|expanded_form|Disease Has Accepted Treatment With Regimen
RELA|Disease_Has_Associated_Anatomic_Site|expanded_form|Disease Has Associated Anatomic Site
RELA|Disease_Has_Associated_Disease|expanded_form|Disease Has Associated Disease
RELA|Disease_Has_Associated_Gene|expanded_form|Disease Has Associated Gene
RELA|Disease_Has_Cytogenetic_Abnormality|expanded_form|Disease Has Cytogenetic Abnormality
RELA|Disease_Has_Finding|expanded_form|Disease Has Finding
RELA|Disease_Has_Metastatic_Anatomic_Site|expanded_form|Disease Has Metastatic Anatomic Site
RELA|Disease_Has_Molecular_Abnormality|expanded_form|Disease Has Molecular Abnormality
RELA|Disease_Has_Normal_Cell_Origin|expanded_form|Disease Has Normal Cell Origin
RELA|Disease_Has_Normal_Tissue_Origin|expanded_form|Disease Has Normal Tissue Origin
RELA|Disease_Has_Primary_Anatomic_Site|expanded_form|Disease Has Primary Anatomic Site
RELA|Disease_Is_Grade|expanded_form|Disease Is Grade
RELA|Disease_Is_Marked_By_Gene|expanded_form|Disease Is Marked By Gene
RELA|Disease_Is_Stage|expanded_form|Disease Is Stage
RELA|Disease_Mapped_To_Chromosome|expanded_form|Disease Mapped To Chromosome
RELA|Disease_Mapped_To_Gene|expanded_form|Disease Mapped To Gene
RELA|Disease_May_Have_Abnormal_Cell|expanded_form|Disease May Have Abnormal Cell
RELA|Disease_May_Have_Associated_Disease|expanded_form|Disease May Have Associated Disease
RELA|Disease_May_Have_Cytogenetic_Abnormality|expanded_form|Disease May Have Cytogenetic Abnormality
RELA|Disease_May_Have_Finding|expanded_form|Disease May Have Finding
RELA|Disease_May_Have_Molecular_Abnormality|expanded_form|Disease May Have Molecular Abnormality
RELA|Disease_May_Have_Normal_Cell_Origin|expanded_form|Disease May Have Normal Cell Origin
RELA|Disease_May_Have_Normal_Tissue_Origin|expanded_form|Disease May Have Normal Tissue Origin
RELA|Disease_Pathogenesis_Involves_Gene|expanded_form|Disease Pathogenesis Involves Gene
RELA|Duplicated_Region_End_Band|expanded_form|Duplicated Region End Band
RELA|Duplicated_Region_Start_Band|expanded_form|Duplicated Region Start Band
RELA|EO_Anatomy_Is_Associated_With_EO_Disease|expanded_form|EO Anatomy Is Associated With EO Disease
RELA|EO_Disease_Has_Associated_Cell_Type|expanded_form|EO Disease Has Associated Cell Type
RELA|EO_Disease_Has_Associated_EO_Anatomy|expanded_form|EO Disease Has Associated EO Anatomy
RELA|EO_Disease_Has_Property_Or_Attribute|expanded_form|EO Disease Has Property Or Attribute
RELA|EO_Disease_Maps_To_Human_Disease|expanded_form|EO Disease Maps To Human Disease
RELA|Effect_of|expanded_form|Effect of
RELA|Encoded_by|expanded_form|Encoded by
RELA|Encodes|expanded_form|Encodes
RELA|Endogenous_Product_Related_To|expanded_form|Endogenous Product Related To
RELA|Enzyme_Metabolizes_Chemical_Or_Drug|expanded_form|Enzyme Metabolizes Chemical Or Drug
RELA|Excised_Anatomy_Has_Procedure|expanded_form|Excised Anatomy Has Procedure
RELA|Excised_Anatomy_May_Have_Procedure|expanded_form|Excised Anatomy May Have Procedure
RELA|Exon_of|expanded_form|Exon of
RELA|Feature_of|expanded_form|Feature of
RELA|Gene_Associated_With_Disease|expanded_form|Gene Associated With Disease
RELA|Gene_Encodes_Gene_Product|expanded_form|Gene Encodes Gene Product
RELA|Gene_Found_In_Organism|expanded_form|Gene Found In Organism
RELA|Gene_Has_Abnormality|expanded_form|Gene Has Abnormality
RELA|Gene_Has_Physical_Location|expanded_form|Gene Has Physical Location
RELA|Gene_In_Chromosomal_Location|expanded_form|Gene In Chromosomal Location
RELA|Gene_Involved_In_Molecular_Abnormality|expanded_form|Gene Involved In Molecular Abnormality
RELA|Gene_Involved_In_Pathogenesis_Of_Disease|expanded_form|Gene Involved In Pathogenesis Of Disease
RELA|Gene_Is_Biomarker_Of|expanded_form|Gene Is Biomarker Of
RELA|Gene_Is_Biomarker_Type|expanded_form|Gene Is Biomarker Type
RELA|Gene_Is_Element_In_Pathway|expanded_form|Gene Is Element In Pathway
RELA|Gene_Location_of|expanded_form|Gene Location of
RELA|Gene_Mapped_To_Disease|expanded_form|Gene Mapped To Disease
RELA|Gene_Mutant_Encodes_Gene_Product_Sequence_Variation|expanded_form|Gene Mutant Encodes Gene Product Sequence Variation
RELA|Gene_Plays_Role_In_Process|expanded_form|Gene Plays Role In Process
RELA|Gene_Product_Affected_By_Chemical_Or_Drug|expanded_form|Gene Product Affected By Chemical Or Drug
RELA|Gene_Product_Encoded_By_Gene|expanded_form|Gene Product Encoded By Gene
RELA|Gene_Product_Expressed_In_Tissue|expanded_form|Gene Product Expressed In Tissue
RELA|Gene_Product_Has_Abnormality|expanded_form|Gene Product Has Abnormality
RELA|Gene_Product_Has_Associated_Anatomy|expanded_form|Gene Product Has Associated Anatomy
RELA|Gene_Product_Has_Biochemical_Function|expanded_form|Gene Product Has Biochemical Function
RELA|Gene_Product_Has_Chemical_Classification|expanded_form|Gene Product Has Chemical Classification
RELA|Gene_Product_Has_Gene_Product_Variant|expanded_form|Gene Product Has Gene Product Variant
RELA|Gene_Product_Has_Organism_Source|expanded_form|Gene Product Has Organism Source
RELA|Gene_Product_Has_Structural_Domain_Or_Motif|expanded_form|Gene Product Has Structural Domain Or Motif
RELA|Gene_Product_Is_Biomarker_Of|expanded_form|Gene Product Is Biomarker Of
RELA|Gene_Product_Is_Biomarker_Type|expanded_form|Gene Product Is Biomarker Type
RELA|Gene_Product_Is_Element_In_Pathway|expanded_form|Gene Product Is Element In Pathway
RELA|Gene_Product_Is_Physical_Part_Of|expanded_form|Gene Product Is Physical Part Of
RELA|Gene_Product_Malfunction_Associated_With_Disease|expanded_form|Gene Product Malfunction Associated With Disease
RELA|Gene_Product_Plays_Role_In_Biological_Process|expanded_form|Gene Product Plays Role In Biological Process
RELA|Gene_Product_Sequence_Variation_Encoded_By_Gene_Mutant|expanded_form|Gene Product Sequence Variation Encoded By Gene Mutant
RELA|Gene_Product_Variant_Of_Gene_Product|expanded_form|Gene Product Variant Of Gene Product
RELA|Gene_of|expanded_form|Gene of
RELA|Genetic_Biomarker_Related_To|expanded_form|Genetic Biomarker Related To
RELA|Genomic_Mutation_Of|expanded_form|Genomic Mutation Of
RELA|Has_3_UTR|expanded_form|Has 3 UTR
RELA|Has_5_UTR|expanded_form|Has 5 UTR
RELA|Has_ACC-AHA_SARS2_Authorized_Value|expanded_form|Has ACC-AHA SARS2 Authorized Value
RELA|Has_Allele|expanded_form|Has Allele
RELA|Has_Amino_Acid_Variant|expanded_form|Has Amino Acid Variant
RELA|Has_Aneuploidy_Addition|expanded_form|Has Aneuploidy Addition
RELA|Has_Aneuploidy_Deletion|expanded_form|Has Aneuploidy Deletion
RELA|Has_Arm|expanded_form|Has Arm
RELA|Has_Arm_Location|expanded_form|Has Arm Location
RELA|Has_Band|expanded_form|Has Band
RELA|Has_Band_Location|expanded_form|Has Band Location
RELA|Has_CDRH_Parent|expanded_form|Has CDRH Parent
RELA|Has_CH3_Status|expanded_form|Has CH3 Status
RELA|Has_CTCAE_5_Parent|expanded_form|Has CTCAE 5.0 Parent
RELA|Has_CTDC_Value|expanded_form|Has CTDC Value
RELA|Has_Centromere|expanded_form|Has Centromere
RELA|Has_Chromosomal_Location|expanded_form|Has Chromosomal Location
RELA|Has_Conceptual_Part|expanded_form|Has Conceptual Part
RELA|Has_Constituent_Amino_Acid|expanded_form|Has Constituent Amino Acid
RELA|Has_Constituent_Element|expanded_form|Has Constituent Element
RELA|Has_Constituent_Protein|expanded_form|Has Constituent Protein
RELA|Has_Constituent_Variant|expanded_form|Has Constituent Variant
RELA|Has_DIPG_DMG_Authorized_Value|expanded_form|Has DIPG DMG Authorized Value
RELA|Has_DIPG_DMG_Permissible_Value|expanded_form|Has DIPG DMG Permissible Value
RELA|Has_Data_Element|expanded_form|Has Data Element
RELA|Has_Effect|expanded_form|Has Effect
RELA|Has_Exon|expanded_form|Has Exon
RELA|Has_Feature|expanded_form|Has Feature
RELA|Has_Free_Acid_Or_Base_Form|expanded_form|Has free acid or base form
RELA|Has_GDC_Value|expanded_form|Has GDC Value
RELA|Has_Gene|expanded_form|Has Gene
RELA|Has_Gene_Location|expanded_form|Has Gene Location
RELA|Has_Gene_Product_Element|expanded_form|Has Gene Product Element
RELA|Has_Genomic_Mutation|expanded_form|Has Genomic Mutation
RELA|Has_ICDC_Value|expanded_form|Has ICDC Value
RELA|Has_INC_Parent|expanded_form|Has INC Parent
RELA|Has_Intron|expanded_form|Has Intron
RELA|Has_Location|expanded_form|Has Location
RELA|Has_Maternal_Uniparental_Disomy|expanded_form|Has Maternal Uniparental Disomy
RELA|Has_Mode_of_Inheritance|expanded_form|Has Mode of Inheritance
RELA|Has_NICHD_Parent|expanded_form|Has NICHD Parent
RELA|Has_Nucleotide_Repeat|expanded_form|Has Nucleotide Repeat
RELA|Has_Nucleotide_Variant|expanded_form|Has Nucleotide Variant
RELA|Has_OORO_PC_Value|expanded_form|Values for a specific OORO Prostate Cancer (PC) attribute
RELA|Has_PCDC_ALL_Authorized_Value|expanded_form|Has PCDC ALL Authorized Value
RELA|Has_PCDC_ALL_Permissible_Value|expanded_form|Has PCDC ALL Permissible Value
RELA|Has_PCDC_AML_Authorized_Value|expanded_form|Has PCDC AML Authorized Value
RELA|Has_PCDC_AML_Permissible_Value|expanded_form|Has PCDC AML Permissible Value
RELA|Has_PCDC_Data_Type|expanded_form|Has PCDC Data Type
RELA|Has_PCDC_EWS_Authorized_Value|expanded_form|Has_PCDC EWS Authorized Value
RELA|Has_PCDC_EWS_Permissible_Value|expanded_form|Has PCDC EWS Permissible Value
RELA|Has_PCDC_GCT_Authorized_Value|expanded_form|Has PCDC GCT Authorized Value
