[RELA_INVERSE]
3_UTR_of|Has_3_UTR
Disease_Has_Cytogenetic_Abnormality|Is_Cytogenetic_Abnormality_Of_Disease
Disease_Has_Finding|Is_Finding_Of_Disease
Disease_Has_Metastatic_Anatomic_Site|Is_Metastatic_Anatomic_Site_Of_Disease
Disease_Has_Molecular_Abnormality|Is_Molecular_Abnormality_Of_Disease
Disease_Has_Normal_Cell_Origin|Is_Normal_Cell_Origin_Of_Disease
Disease_Has_Normal_Tissue_Origin|Is_Normal_Tissue_Origin_Of_Disease
Disease_Has_Primary_Anatomic_Site|Is_Primary_Anatomic_Site_Of_Disease
Disease_Is_Grade|Is_Grade_Of_Disease
Disease_Is_Marked_By_Gene|Gene_Is_Biomarker_Of
Disease_Is_Stage|Is_Stage_Of_Disease
Disease_Mapped_To_Chromosome|Chromosome_Mapped_To_Disease
Disease_Mapped_To_Gene|Gene_Mapped_To_Disease
Disease_May_Have_Abnormal_Cell|May_Be_Abnormal_Cell_Of_Disease
Disease_May_Have_Associated_Disease|May_Be_Associated_Disease_Of_Disease
Disease_May_Have_Cytogenetic_Abnormality|May_Be_Cytogenetic_Abnormality_Of_Disease
Disease_May_Have_Finding|May_Be_Finding_Of_Disease
Disease_May_Have_Molecular_Abnormality|May_Be_Molecular_Abnormality_Of_Disease
Disease_May_Have_Normal_Cell_Origin|May_Be_Normal_Cell_Origin_Of_Disease
Disease_May_Have_Normal_Tissue_Origin|May_Be_Normal_Tissue_Origin_Of_Disease
Disease_Pathogenesis_Involves_Gene|Gene_Involved_In_Pathogenesis_Of_Disease
Duplicated_Region_End_Band|INV_Duplicated_Region_End_Band
Duplicated_Region_Start_Band|INV_Duplicated_Region_Start_Band
EO_Anatomy_Is_Associated_With_EO_Disease|EO_Disease_Has_Associated_EO_Anatomy
EO_Disease_Has_Associated_Cell_Type|Cell_Type_Is_Associated_With_EO_Disease
EO_Disease_Has_Associated_EO_Anatomy|EO_Anatomy_Is_Associated_With_EO_Disease
EO_Disease_Has_Property_Or_Attribute|Is_Property_Or_Attribute_Of_EO_Disease
EO_Disease_Maps_To_Human_Disease|Human_Disease_Maps_To_EO_Disease
Effect_of|Has_Effect
Encoded_by|Encodes
Encodes|Encoded_by
Endogenous_Product_Related_To|Is_Related_To_Endogenous_Product
Enzyme_Metabolizes_Chemical_Or_Drug|Chemical_Or_Drug_Is_Metabolized_By_Enzyme
Excised_Anatomy_Has_Procedure|Procedure_Has_Excised_Anatomy
Excised_Anatomy_May_Have_Procedure|Procedure_May_Have_Excised_Anatomy
Exon_of|Has_Exon
Feature_of|Has_Feature
Gene_Associated_With_Disease|Disease_Has_Associated_Gene
Gene_Encodes_Gene_Product|Gene_Product_Encoded_By_Gene
Gene_Found_In_Organism|Organism_Has_Gene
Gene_Has_Abnormality|Is_Abnormality_Of_Gene
Gene_Has_Physical_Location|Is_Physical_Location_Of_Gene
Gene_In_Chromosomal_Location|Is_Chromosomal_Location_Of_Gene
Gene_Involved_In_Molecular_Abnormality|Molecular_Abnormality_Involves_Gene
Gene_Involved_In_Pathogenesis_Of_Disease|Disease_Pathogenesis_Involves_Gene
Gene_Is_Biomarker_Of|Disease_Is_Marked_By_Gene
Gene_Is_Biomarker_Type|Biomarker_Type_Includes_Gene
Gene_Is_Element_In_Pathway|Pathway_Has_Gene_Element
Gene_Location_of|Has_Gene_Location
Gene_Mapped_To_Disease|Disease_Mapped_To_Gene
Gene_Mutant_Encodes_Gene_Product_Sequence_Variation|Gene_Product_Sequence_Variation_Encoded_By_Gene_Mutant
Gene_Plays_Role_In_Process|Process_Involves_Gene
Gene_Product_Affected_By_Chemical_Or_Drug|Chemical_Or_Drug_Affects_Gene_Product
Gene_Product_Encoded_By_Gene|Gene_Encodes_Gene_Product
Gene_Product_Expressed_In_Tissue|Tissue_Is_Expression_Site_Of_Gene_Product
Gene_Product_Has_Abnormality|Is_Abnormality_Of_Gene_Product
Gene_Product_Has_Associated_Anatomy|Is_Associated_Anatomy_Of_Gene_Product
Gene_Product_Has_Biochemical_Function|Is_Biochemical_Function_Of_Gene_Product
Gene_Product_Has_Chemical_Classification|Is_Chemical_Classification_Of_Gene_Product
Gene_Product_Has_Gene_Product_Variant|Gene_Product_Variant_Of_Gene_Product
Gene_Product_Has_Organism_Source|Is_Organism_Source_Of_Gene_Product
Gene_Product_Has_Structural_Domain_Or_Motif|Is_Structural_Domain_Or_Motif_Of_Gene_Product
Gene_Product_Is_Biomarker_Of|Is_Marked_By_Gene_Product
Gene_Product_Is_Biomarker_Type|Biomarker_Type_Includes_Gene_Product
Gene_Product_Is_Element_In_Pathway|Has_Gene_Product_Element
Gene_Product_Is_Physical_Part_Of|Complex_Has_Physical_Part
Gene_Product_Malfunction_Associated_With_Disease|Associated_With_Malfunction_Of_Gene_Product
Gene_Product_Plays_Role_In_Biological_Process|Biological_Process_Involves_Gene_Product
Gene_Product_Sequence_Variation_Encoded_By_Gene_Mutant|Gene_Mutant_Encodes_Gene_Product_Sequence_Variation
Gene_Product_Variant_Of_Gene_Product|Gene_Product_Has_Gene_Product_Variant
Gene_of|Has_Gene
Genetic_Biomarker_Related_To|Related_To_Genetic_Biomarker
Genomic_Mutation_Of|Has_Genomic_Mutation
Has_3_UTR|3_UTR_of
Has_5_UTR|5_UTR_of
Has_ACC-AHA_SARS2_Authorized_Value|Is_ACC-AHA_SARS2_Authorized_Value_For_Variable
Has_Allele|Allele_of
Has_Amino_Acid_Variant|Amino_Acid_Variant_of
Has_Aneuploidy_Addition|Aneuploidy_Addition_of
Has_Aneuploidy_Deletion|Aneuploidy_Deletion_of
Has_Arm|Arm_of
Has_Arm_Location|Arm_Location_of
Has_Band|Band_of
Has_Band_Location|Band_Location_of
Has_CDRH_Parent|Parent_Is_CDRH
Has_CH3_Status|CH3_Status_of
Has_CTCAE_5_Parent|CTCAE_5_Parent_Of
Has_CTDC_Value|Is_CTDC_Value_Of
Has_Centromere|Centromere_of
Has_Chromosomal_Location|Chromosomal_Location_of
Has_Conceptual_Part|Conceptual_Part_Of
Has_Constituent_Amino_Acid|Constituent_Amino_Acid_of
Has_Constituent_Element|Constituent_Element_of
Has_Constituent_Protein|Constituent_Protein_of
Has_Constituent_Variant|Constituent_Variant_of
Has_DIPG_DMG_Authorized_Value|Is_DIPG_DMG_Authorized_Value_For_Variable
Has_DIPG_DMG_Permissible_Value|Is_DIPG_DMG_Permissible_Value_For_Variable
Has_Data_Element|Data_Element_Of
Has_Effect|Effect_of
Has_Exon|Exon_of
Has_Feature|Feature_of
Has_Free_Acid_Or_Base_Form|Has_Salt_Or_Ester_Form
Has_GDC_Value|Is_Value_For_GDC_Property
Has_Gene|Gene_of
Has_Gene_Location|Gene_Location_of
Has_Gene_Product_Element|Gene_Product_Is_Element_In_Pathway
Has_Genomic_Mutation|Genomic_Mutation_Of
Has_ICDC_Value|ICDC_Value_Of
Has_INC_Parent|INC_Parent_Of
Has_Intron|Intron_of
Has_Location|Is_Location_Of
Has_Maternal_Uniparental_Disomy|Maternal_Uniparental_Disomy_of
Has_Mode_of_Inheritance|Mode_of_Inheritance
Has_NICHD_Parent|Parent_Is_NICHD
Has_Nucleotide_Repeat|Nucleotide_Repeat_of
Has_Nucleotide_Variant|Nucleotide_Variant_of
Has_OORO_PC_Value|Is_OORO_PC_Value_Of
Has_PCDC_ALL_Authorized_Value|Is_PCDC_ALL_Authorized_Value_For_Variable
Has_PCDC_ALL_Permissible_Value|Is_PCDC_ALL_Permissible_Value_For_Variable
Has_PCDC_AML_Authorized_Value|Is_PCDC_AML_Authorized_Value_For_Variable
Has_PCDC_AML_Permissible_Value|Is_PCDC_AML_Permissible_Value_For_Variable
Has_PCDC_Data_Type|PCDC_Data_Type_Of
Has_PCDC_EWS_Authorized_Value|Is_PCDC_EWS_Authorized_Value_For_Variable
Has_PCDC_EWS_Permissible_Value|Is_PCDC_EWS_Permissible_Value_For_Variable
Has_PCDC_GCT_Authorized_Value|Is_PCDC_GCT_Authorized_Value_For_Variable
Has_PCDC_GCT_Permissible_Value|Is_PCDC_GCT_Permissible_Value_For_Variable
Has_PCDC_HL_Authorized_Value|Is_PCDC_HL_Authorized_Value_For_Variable
Has_PCDC_HL_Permissible_Value|Is_PCDC_HL_Permissible_Value_For_Variable
Has_PCDC_OS_Authorized_Value|Is_PCDC_OS_Authorized_Value_For_Variable
Has_PCDC_OS_Permissible_Value|Is_PCDC_OS_Permissible_Value_For_Variable
Has_PRO-CTCAE_Attribute|Is_PRO-CTCAE_Attribute_Of
Has_PRO-CTCAE_Attribute_Value|Is_PRO-CTCAE_Attribute_Value_Of
Has_PRO-CTCAE_Parent|Is_PRO-CTCAE_Parent_Of
Has_Paternal_Uniparental_Disomy|Paternal_Uniparental_Disomy_of
Has_Ped-PRO-CTCAE_Attribute|Is_Ped-PRO-CTCAE_Attribute_Of
Has_Ped-PRO-CTCAE_Attribute_Value|Is_Ped-PRO-CTCAE_Attribute_Value_Of
Has_Ped-PRO-CTCAE_Parent|Is_Ped-PRO-CTCAE_Parent_Of
Has_Pharmaceutical_Administration_Method|Pharmaceutical_Administration_Method_Of
Has_Pharmaceutical_Basic_Dose_Form|Pharmaceutical_Basic_Dose_Form_Of
Has_Pharmaceutical_Intended_Site|Pharmaceutical_Intended_Site_Of
Has_Pharmaceutical_Release_Characteristics|Pharmaceutical_Release_Characteristics_Of
Has_Pharmaceutical_State_Of_Matter|Pharmaceutical_State_Of_Matter_Of
Has_Pharmaceutical_Transformation|Pharmaceutical_Transformation_Of
Has_Physical_Part_Of_Anatomic_Structure|Anatomic_Structure_Is_Physical_Part_Of
Has_RT_Product|RT_Product_of
Has_Salt_Form|Has_Free_Acid_Or_Base_Form
